date	Assetto Corsa	The Banner Saga	Sid Meier's Civilization V	Counter-Strike: Global Offensive	Day One : Garry's Incident	Drug Wars	Godus	Grand Theft Auto V	Infestation: Survivor Stories Classic	Insurgency	Portal 2	Project CARS	Retro City Rampage DX	Rocket League	Saints Row: The Third	Shadowrun Returns	Ship Simulator Extremes	Total War: SHOGUN 2	The Elder Scrolls V: Skyrim	Skyscraper Simulator	SpeedRunners	The Swapper	Tunnel Rats	The Witcher 3: Wild Hunt	The Witness
20141123	1648	132	46333	243123	5	1	392	1	3127	7193	2368	164	32	1	1808	276	62	4081	43249	2	655	54	1	0	1
20141124	1499	111	34903	239938	8	0	329	1	2432	5720	1657	97	30	2	1358	222	43	3163	32024	2	549	43	0	0	0
20141125	1354	91	32718	221420	4	1	323	2	2581	5732	1653	112	22	2	1337	166	50	3173	31084	3	511	39	0	0	0
20141126	1374	109	37222	225433	4	0	462	1	3259	5592	1956	107	29	2	1403	238	52	3594	33875	4	629	45	1	0	0
20141127	1378	182	39987	219942	5	0	541	1	3430	5061	2245	117	34	1	1437	329	55	3607	33463	3	817	45	0	0	0
20141128	1414	786	47302	224794	7	0	608	1	3812	5521	2951	136	30	3	1734	390	62	4108	37113	5	998	46	1	0	1
20141129	1345	1465	48438	233809	7	1	697	0	3931	5145	3204	123	33	2	1904	439	79	4426	39823	4	1025	48	1	0	0
20141130	1515	1214	47971	252684	8	0	828	0	4412	5506	3315	128	34	1	1878	491	71	4611	43263	4	1029	53	0	0	1
20141201	1289	825	36645	261226	5	1	773	3	3594	4064	2283	91	26	2	1799	483	57	3555	30770	3	871	47	1	0	1
20141202	1289	618	33459	234763	4	0	774	3	3244	4011	3186	103	24	3	2083	622	60	3559	35949	4	921	35	0	0	0
20141203	1334	520	32366	230752	6	1	655	2	3037	3603	2889	101	20	1	1828	484	50	3512	36720	4	793	33	0	0	0
20141204	1273	426	32187	228832	7	0	572	2	3029	3500	2776	110	24	2	1960	399	47	3486	35740	3	675	34	0	0	0
20141205	1344	373	37677	232034	4	0	809	2	3117	4074	2900	129	20	2	1998	358	53	3766	37682	2	792	42	0	0	0
20141206	1398	535	48988	220924	7	1	826	0	3486	4397	3747	135	32	3	2376	458	62	4631	48293	6	827	41	0	0	0
20141207	1532	526	47852	252464	6	0	800	0	3467	4311	3420	134	28	1	2131	468	55	4697	50454	4	728	61	1	0	1
20141208	1389	358	35849	269899	7	0	625	1	2983	3462	2299	125	22	1	1597	353	46	3808	36939	3	566	38	1	0	0
20141209	1256	311	32873	234196	4	0	555	4	2862	3627	2079	113	21	1	1518	248	41	3649	35563	3	580	31	1	0	0
20141210	1363	286	31133	228298	3	0	472	2	2689	3171	1936	118	21	7	1418	259	39	3573	33970	2	547	30	0	0	0
20141211	1309	273	31689	225807	6	1	456	4	2932	3072	1909	121	17	8	1372	284	48	3421	33865	2	531	26	0	0	0
20141212	1296	255	35904	233998	6	0	402	3	3283	3533	2289	133	26	32	1594	270	46	3613	35321	3	624	34	1	0	0
20141213	1353	333	46273	237161	9	1	472	1	3360	4872	2998	132	35	31	2070	346	59	4281	44735	3	699	55	0	0	0
20141214	1507	391	47073	256558	10	1	559	1	3593	5220	2840	130	56	3	1918	376	54	4591	48386	3	635	67	1	0	0
20141215	1396	253	35678	255386	6	0	428	3	2994	4384	2030	115	39	3	1393	307	52	3614	36443	3	582	62	1	0	0
