date	Assetto Corsa	The Banner Saga	Sid Meier's Civilization® V	Colin McRae Rally	Counter-Strike: Global Offensive	Day One : Garry's Incident	Godus	Drug Wars	Grand Theft Auto V	Insurgency	Infestation: Survivor Stories Classic	Project CARS	Portal 2	Rocket League®	Retro City Rampage™ DX	Saints Row: The Third	Shadowrun Returns	Ship Simulator Extremes	Total War: SHOGUN 2	The Elder Scrolls V: Skyrim	Skyscraper Simulator	SpeedRunners	The Swapper	Tunnel Rats	The Witcher® 3: Wild Hunt	The Witness
20141123	34.99	19.99	29.99	6.99	14.99	9.99	19.99	3.99	59.99	14.99	14.99	49.99	14.99	19.99	8.99	14.99	13.99	19.99	29.99	14.99	8.99	9.99	13.99	18.99	59.99	36.99
20141124	34.99	19.99	29.99	6.99	14.99	9.99	19.99	3.99	59.99	14.99	14.99	49.99	14.99	19.99	8.99	14.99	13.99	19.99	29.99	14.99	8.99	9.99	13.99	18.99	59.99	36.99
20141125	34.99	19.99	29.99	6.99	14.99	9.99	19.99	3.99	59.99	14.99	14.99	49.99	14.99	19.99	8.99	14.99	13.99	19.99	29.99	14.99	8.99	9.99	13.99	18.99	59.99	36.99
20141126	34.99	19.99	29.99	6.99	14.99	9.99	19.99	3.99	59.99	14.99	14.99	49.99	14.99	19.99	8.99	14.99	13.99	19.99	29.99	14.99	8.99	9.99	13.99	18.99	59.99	36.99
20141127	34.99	9.99	7.49	3.49	14.99	1.99	4.99	3.99	59.99	5.99	4.49	49.99	7.49	19.99	4.49	7.49	2.79	4.99	10.19	7.49	2.24	4.99	6.99	18.99	59.99	36.99
20141128	34.99	4.99	14.99	3.49	14.99	1.99	4.99	3.99	59.99	5.99	4.49	49.99	7.49	19.99	4.49	7.49	2.79	4.99	10.19	7.49	2.24	4.99	6.99	18.99	59.99	36.99
20141129	34.99	9.99	14.99	3.49	14.99	1.99	4.99	3.99	59.99	5.99	4.49	49.99	7.49	19.99	4.49	7.49	2.79	4.99	14.99	7.49	2.24	4.99	6.99	18.99	59.99	36.99
20141130	34.99	9.99	14.99	3.49	14.99	1.99	4.99	3.99	59.99	5.99	4.49	49.99	7.49	19.99	4.49	3.74	2.79	4.99	14.99	7.49	2.24	4.99	6.99	18.99	59.99	36.99
20141201	34.99	9.99	14.99	3.49	14.99	1.99	4.99	3.99	59.99	5.99	14.99	49.99	3.74	19.99	4.49	3.74	2.79	4.99	14.99	3.74	2.24	4.99	6.99	18.99	59.99	36.99
20141202	34.99	19.99	29.99	6.99	14.99	9.99	19.99	3.99	59.99	14.99	14.99	49.99	14.99	19.99	8.99	14.99	13.99	19.99	29.99	3.74	8.99	9.99	13.99	18.99	59.99	36.99
